,ticker,company,industry,location,dividend,dividend_prc,latitude,longitude
133,ESS,Essex Property Trust,Real Estate,"San Mateo, California",6.24,3.37,37.5629917,-122.3255254
134,EL,Estée Lauder Companies (The),Consumer Staples,"New York City, New York",1.2,1.44,40.7127753,-74.0059728
135,EG,Everest Re,Financials,"Hamilton, Bermuda",4.6,2.9,32.2950716,-64.7842417
136,ES,Eversource,Utilities,"Hartford, Connecticut",1.75,4.11,41.7658043,-72.6733723
137,EXC,Exelon,Utilities,"Chicago, Illinois",1.26,6.96,41.8781136,-87.6297982
138,EXPE,Expedia Group,Consumer Discretionary,"Seattle, Washington",0.98,0.9,47.6062095,-122.3320708
139,EXPD,Expeditors International,Industrials,"Seattle, Washington",0.76,1.7,47.6062095,-122.3320708
140,EXR,Extra Space Storage,Real Estate,"Salt Lake City, Utah",2.74,4.24,40.7607793,-111.8910474
141,XOM,ExxonMobil,Energy,"Irving, Texas",2.96,4.97,32.8140177,-96.9488945
142,FDS,FactSet,Financials,"Norwalk, Connecticut",1.88,1.24,41.11774399999999,-73.4081575
143,FICO,Fair Isaac,Information Technology,"Bozeman, Montana",0.08,0.08,45.67931189999999,-111.037259
144,FAST,Fastenal,Industrials,"Winona, Minnesota",1.18,7.03,44.0553908,-91.6663523
145,FRT,Federal Realty,Real Estate,"Rockville, Maryland",3.8,3.22,39.0839973,-77.1527578
146,FDX,FedEx,Industrials,"Memphis, Tennessee",1.3,0.92,35.1495343,-90.0489801
147,FITB,Fifth Third Bank,Financials,"Cincinnati, Ohio",0.52,3.6,39.1031182,-84.5120196
148,FE,FirstEnergy,Utilities,"Akron, Ohio",1.44,5.97,41.0814447,-81.51900529999999
149,FIS,FIS,Financials,"Jacksonville, Florida",1.04,1.71,30.3321838,-81.65565099999999
150,FMC,FMC Corporation,Materials,"Philadelphia, Pennsylvania",0.66,2.25,39.9525839,-75.1652215
151,F,Ford Motor Company,Consumer Discretionary,"Dearborn, Michigan",0.85,8.96,42.3222599,-83.17631449999999
152,FTV,Fortive,Industrials,"Everett, Washington",0.07,0.17,47.9789848,-122.2020794
153,BEN,Franklin Templeton,Financials,"San Mateo, California",0.72,2.86,37.5629917,-122.3255254
154,FCX,Freeport-McMoRan,Materials,"Phoenix, Arizona",0.05,0.42,33.4483771,-112.0740373
155,GRMN,Garmin,Consumer Discretionary,"Schaffhausen, Switzerland",2.04,6.24,47.6958897,8.6380488
156,GEN,Gen Digital,Information Technology,"Tempe, Arizona",4.45,51.61,33.4255104,-111.9400054
157,GD,General Dynamics,Industrials,"Falls Church, Virginia",2.9,2.55,38.88233400000001,-77.1710914
158,GE,General Electric,Industrials,"Boston, Massachusetts",0.92,0.56,42.3600825,-71.0588801
159,GIS,General Mills,Consumer Staples,"Golden Valley, Minnesota",1.82,3.84,44.9917149,-93.3600034
160,GM,General Motors,Consumer Discretionary,"Detroit, Michigan",1.5,5.64,42.331427,-83.0457538
161,GPC,Genuine Parts Company,Consumer Discretionary,"Atlanta, Georgia",2.59,3.35,33.748752,-84.38768449999999
162,GILD,Gilead Sciences,Health Care,"Foster City, California",1.8,2.68,37.5585465,-122.2710788
163,GL,Globe Life,Financials,"McKinney, Texas",0.42,0.77,33.1983388,-96.6389342
164,GPN,Global Payments,Financials,"Atlanta, Georgia",0.04,0.06,33.748752,-84.38768449999999
165,GS,Goldman Sachs,Financials,"New York City, New York",2.6,1.8,40.7127753,-74.0059728
166,HAL,Halliburton,Energy,"Houston, Texas",0.72,2.09,29.7604267,-95.3698028
